district,province,illit_m,read_m,write_m,illit_f,read_f,write_f
Nules,Castellón,10917,574,1775,12202,361,405
Nájera,Logroño,4404,390,7146,9005,1250,2485
Ocaña,Toledo,10129,484,3496,10998,739,1071
Olivenza,Badajoz,9137,440,2830,9074,675,1317
Olmedo,Valladolid,7336,726,5788,10857,875,1403
Olot,Girona,17396,472,5467,21508,331,1134
Olvera,Cádiz,11295,233,1467,11342,394,582
Onteniente,Valencia,8901,341,1858,10274,325,577
Orense,Orense,16198,2179,8540,26307,1482,1527
Orgaz,Toledo,9844,437,3840,11682,527,1415
Orgiva,Granada,14152,453,3243,16427,593,891
Orihuela,Alicante,14982,474,3122,17260,603,1817
Ortigueira,Coruña,9734,627,2959,19315,144,354
Osuna,Sevilla,10767,350,2972,12376,538,1459
Oviedo,Oviedo,18795,4288,13809,32947,4492,3619
Padrón,Coruña,6752,908,4685,15467,1382,947
Palencia,Palencia,7193,763,8456,12347,1337,2582
Palma de Mallorca,Baleares,34357,1161,12639,46146,1315,4621
Pamplona,Navarra,30419,2802,19258,39044,5271,8656
Pastrana,Guadalajara,7788,516,3635,9789,560,740
Pego,Alicante,7873,308,721,8314,213,151
Peñafiel,Valladolid,5102,644,4695,8141,897,617
Peñaranda de Bracamonte,Salamanca,6868,808,5569,10515,1242,1440
Piedrabuena,Ciudad Real,6239,226,1840,6798,240,416
Piedrahita,Ávila,8365,1667,6015,13757,1555,1014
Pina,Zaragoza,8338,231,2792,10466,209,546
Plasencia,Cáceres,9268,896,4409,11291,1357,1341
Ponferrada,León,13438,1222,7433,22481,254,712
Pontevedra,Pontevedra,15350,1121,8591,31084,578,1494
Posadas,Córdoba,8922,452,2309,8923,586,740
Potes,Santander,1613,526,3727,4257,1345,763
Pozoblanco,Córdoba,10042,753,2673,11932,603,915
Pravia,Oviedo,9383,1096,7396,19142,1384,1596
Priego,Cuenca,5782,461,3998,8854,679,553
Priego de Córdoba,Córdoba,10111,127,1272,11026,151,628
Puebla de Alcocer,Badajoz,6007,719,2533,7800,786,577
Puebla de Sanabria,Zamora,8342,706,6816,17816,189,538
Puebla de Trives,Orense,8205,633,4150,14897,265,226
Puente del Arzobispo,Toledo,10452,1056,4735,12853,1411,1104
Puente-Caldelas,Pontevedra,5684,272,4647,13996,310,435
Puentedeume,Coruña,10252,1136,3388,17023,653,610
Puenteáreas,Pontevedra,8291,661,7557,20390,258,555
Puerto de Santa María,Cádiz,10566,379,4597,10106,583,2739
Purchena,Almería,14220,478,2943,18023,575,659
Quintanar de la Orden,Toledo,9009,616,2742,11416,420,892
Quiroga,Lugo,8766,454,2920,12687,67,133
Ramales,Santander,1983,262,2801,5101,135,550
Redondela,Pontevedra,6144,490,3476,14595,224,278
Reinosa,Santander,3596,742,7359,8617,1948,1892
Requena,Valencia,9099,294,3172,11586,286,761
Reus,Tarragona,14918,836,7913,22706,821,2515
Riaza,Segovia,3716,469,4426,6935,867,640
Riaño,León,2530,677,5710,7519,2021,1014
Ribadavia,Orense,7898,645,4763,14602,391,619
Ribadeo,Lugo,6288,130,4113,12510,131,876
Ribas,Girona,9661,746,4247,14187,409,1156
Roa,Burgos,3939,296,4758,7356,510,625
Ronda,Málaga,15252,512,3025,16901,821,1630
Rute,Córdoba,8488,476,1461,10602,264,518
Sacedón,Guadalajara,4599,219,2764,6460,344,507
Sahagún,León,4358,792,7665,7729,2461,2137
Salamanca,Salamanca,8628,1048,11422,15009,2411,3754
Salas de los Infantes,Burgos,4554,1012,7283,11603,1532,1242
Saldaña,Palencia,4716,1071,9229,10814,2224,1583
San Clemente,Cuenca,9392,511,3605,12536,604,953
San Fernando,Cádiz,12617,368,7224,10974,562,3594
San Martín de Valdeiglesias,Madrid,4770,245,2101,5400,287,529
San Mateo,Castellón,9094,595,1490,10365,328,310
San Roque,Cádiz,10144,295,2098,10124,410,1239
San Sebastián,Guipuzcoa,14893,1763,5554,15750,3157,3688
San Vicente de la Barquera,Santander,2752,470,4648,7160,1241,1494
Sanlúcar de Barrameda,Cádiz,9667,259,3143,9977,449,1984
Sanlúcar la Mayor,Sevilla,12145,644,3914,12419,855,1699
Sant Feliu de Llobregat,Barcelona,15055,807,6437,19792,336,1247
Santa Coloma de Farnés,Girona,19898,666,6326,23681,479,1877
Santa María de Nieva,Segovia,5466,934,7307,9054,2222,2121
Santafé,Granada,10353,475,2476,11933,404,853
Santander,Santander,7541,1824,11416,14670,2214,4868
Santiago,Coruña,10328,930,7691,20430,1275,3184
Santo Domingo de la Calzada,Logroño,3482,421,4760,5749,875,1987
Sariñena,Huesca,9165,451,2725,10420,246,476
Sarria,Lugo,11109,417,6940,19626,285,443
